Jerusalem Gold,Jerusalem,196
Lev Yerushalayim,Jerusalem,98
Drachim Hotel,Dimona,60
Americana,Eilat,136
Astoria Galilee,Tiberias,100
Hacienda Forest View Hotel,Ma'alot Tarshiha,142
The House In The Galilee,Hazor Hagelilit,26
Bell,Tel Aviv Jaffa,25
Best Western Regency Suites,Tel Aviv Jaffa,30
King Solomon Gardens,Netanya,103
Dan Carmel,Haifa,219
Daniel Herzliya,Herzliya,143
B Club Eilat, Eilat,159
Hilton Tel Aviv,Tel Aviv Jaffa,560
Hasharon,Herzliya,170
Vila Galille,Safed,21
Gai Beach,Tiberias,198
Yad Hashmona,Yad Ha-Shmona,45
Kinar Galilee,Ramot,250
Kfar Giladi,174,
Leonardo Boutique Tel Aviv,Tel Aviv Jaffa,167
Leonardo Plaza Tiberias,Tiberias,258
Leonardo Club Tiberias,Tiberias,399
Lusky Hotel,Tel Aviv Jaffa,26
Zipori Center,Jerusalem,37
Nova Like,Eilat,193
Bay View Haifa,Haifa,109
Nir Etzion,Nir Etzion,125
Savoy,Tel Aviv Jaffa,54
Kinorot Hotel,Tiberias,100
Eden Inn,Zikhron Ya'akov,96
Ein Gev,Ein Gev,178
Inbar,Arad,100
Commodore,Jerusalem,45
Continental,Tiberias,50
Kalya,64,
Capitol,Jerusalem,54
Crowne Plaza Eilat,Eilat,266
Crowne Plaza Haifa,Haifa,100
Crowne Plaza Tel Aviv,Tel Aviv Jaffa,246
Restal,Tiberias,176
Jerusalem Gates,Jerusalem,298
Ophir,Tel Aviv Jaffa,28
Eyal,Jerusalem,68
AquamarineEilat85,,
ArazimMetula30,,
Ramada JerusalemJerusalem360,,
Caesar Premier EilatEilat241,,
Prima RoyaleJerusalem133,,
Palacio DomainSafed 11,,
Beit Oren20,,
BenjaminHerzliya113,,
ZionJerusalem23,,
GloriaJerusalem100,,
GardiniaNazareth120,,
PalterinTiberias50,,
Port HotelTel Aviv Jaffa21,,
Nof Tavor Hotel118,,
AdiEilat111,,
ParkNetanya90,,
Orchid Park PlazaTel Aviv Jaffa202,,
Holy Land HotelJerusalem104,,
Herods Tel AvivTel Aviv Jaffa320,,
TemplersHaifa13,,
Herbert SamuelJerusalem137,,
MarisHaifa28,,
AriaEilat246,,
Midbara14,,
Leonardo Plaza AshdodAshdod183,,
Rothschild 22 Tel AvivTel Aviv Jaffa156,,
Leonardo Boutique RehovotRehovot116,,
Hotel MelodyTel Aviv Jaffa50,,
Golden Crown HaifaHaifa90,,
Narkis Boutique HotelMajdal Shams21,,
Hotel The White House - Tel AvivTel Aviv Jaffa26,,
Aqueduct Olive HotelRegba106,,
Waldorf Astoria JerusalemJerusalem225,,
Ibis Styles Jerusalem City CenterJerusalem104,,
Ein Kerem HotelJerusalem96,,
Agripas Boutique HotelJerusalem52,,
Caesar Premier TiberiasTiberias229,,
Dave Gordon HotelTel Aviv Jaffa35,,
Villa Brown HotelJerusalem24,,
American ColonyJerusalem92,,
Mamilla HotelJerusalem194,,
Isrotel Yam SufEilat251,,
Isrotel Riviera ClubEilat172,,
Isrotel Royal Beach - Tel AvivTel Aviv Jaffa230,,
Royal PlazaTiberias160,,
Ein Harod Country Suites and GuesthousesEin Harod50,,
Orchid ReefEilat79,,
ImperialTel Aviv Jaffa41,,
AlexanderTel Aviv Jaffa50,,
Astral NirvanaEilat80,,
Astral Nirvana ClubEilat77,,
ArthurJerusalem54,,
Beit MaimonZikhron Ya'akov25,,
BlueEilat30,,
BereshitMizpe Ramon111,,
David IntercontinentalTel Aviv Jaffa555,,
Dan EilatEilat378,,
Dan JerusalemJerusalem505,,
Dan Panorama HaifaHaifa266,,
Daniel Dead Sea302,,
King Solomon TiberiasTiberias218,,
Mount ZionJerusalem137,,
Herods VitalisEilat64,,
HarmonyJerusalem48,,
Acco BeachAkko (Acre)80,,
Ron BeachTiberias74,,
Cnaan Spa HotelSafed 120,,
Leonardo TiberiasTiberias198,,
Leonardo NegevBe'er Sheva250,,
Leonardo City TowerRamat Gan167,,
Leonardo Plaza JerusalemJerusalem270,,
Leonardo PrevelegeEilat280,,
Leonardo Plaza Dead Sea280,,
Leonardo Club EilatEilat282,,
Leonardo Club Dead SeaDead Sea380,,
Leonardo Royal ResortEilat228,,
LouiHaifa19,,
U magic Palace Eilat322,,
Madison NahariyaNahariyya89,,
GilgalTel Aviv Jaffa50,,
