"Jerusalem Gold	Jerusalem	196"
"Lev Yerushalayim	Jerusalem	98"
"Drachim Hotel	Dimona	60"
"Americana	Eilat	136"
"Astoria Galilee	Tiberias	100"
"Hacienda Forest View Hotel	Ma'alot Tarshiha	142"
"The House In The Galilee	Hazor Hagelilit	26"
"Bell	Tel Aviv Jaffa	25"
"Best Western Regency Suites	Tel Aviv Jaffa	30"
"King Solomon Gardens	Netanya	103"
"Dan Carmel	Haifa	219"
"Daniel Herzliya	Herzliya	143"
"B Club Eilat 	Eilat	159"
"Hilton Tel Aviv	Tel Aviv Jaffa	560"
"Hasharon	Herzliya	170"
"Vila Galille	Safed 	21"
"Gai Beach	Tiberias	198"
"Yad Hashmona	Yad Ha-Shmona	45"
"Kinar Galilee	Ramot	250"
"Kfar Giladi		174"
"Leonardo Boutique Tel Aviv	Tel Aviv Jaffa	167"
"Leonardo Plaza Tiberias	Tiberias	258"
"Leonardo Club Tiberias	Tiberias	399"
"Lusky Hotel	Tel Aviv Jaffa	26"
"Zipori Center	Jerusalem	37"
"Nova Like	Eilat	193"
"Bay View Haifa	Haifa	109"
"Nir Etzion	Nir Etzion	125"
"Savoy	Tel Aviv Jaffa	54"
"Kinorot Hotel	Tiberias	100"
"Eden Inn	Zikhron Ya'akov	96"
"Ein Gev	Ein Gev	178"
"Inbar	Arad	100"
"Commodore	Jerusalem	45"
"Continental	Tiberias	50"
"Kalya		64"
"Capitol	Jerusalem	54"
"Crowne Plaza Eilat	Eilat	266"
"Crowne Plaza Haifa	Haifa	100"
"Crowne Plaza Tel Aviv	Tel Aviv Jaffa	246"
"Restal	Tiberias	176"
"Jerusalem Gates	Jerusalem	298"
"Ophir	Tel Aviv Jaffa	28"
"Eyal	Jerusalem	68"
"Aquamarine	Eilat	85"
"Arazim	Metula	30"
"Ramada Jerusalem	Jerusalem	360"
"Caesar Premier Eilat	Eilat	241"
"Prima Royale	Jerusalem	133"
"Palacio Domain	Safed 	11"
"Beit Oren		20"
"Benjamin	Herzliya	113"
"Zion	Jerusalem	23"
"Gloria	Jerusalem	100"
"Gardinia	Nazareth	120"
"Palterin	Tiberias	50"
"Port Hotel	Tel Aviv Jaffa	21"
"Nof Tavor Hotel		118"
"Adi	Eilat	111"
"Park	Netanya	90"
"Orchid Park Plaza	Tel Aviv Jaffa	202"
"Holy Land Hotel	Jerusalem	104"
"Herods Tel Aviv	Tel Aviv Jaffa	320"
"Templers	Haifa	13"
"Herbert Samuel	Jerusalem	137"
"Maris	Haifa	28"
"Aria	Eilat	246"
"Midbara		14"
"Leonardo Plaza Ashdod	Ashdod	183"
"Rothschild 22 Tel Aviv	Tel Aviv Jaffa	156"
"Leonardo Boutique Rehovot	Rehovot	116"
"Hotel Melody	Tel Aviv Jaffa	50"
"Golden Crown Haifa	Haifa	90"
"Narkis Boutique Hotel	Majdal Shams	21"
"Hotel The White House - Tel Aviv	Tel Aviv Jaffa	26"
"Aqueduct Olive Hotel	Regba	106"
"Waldorf Astoria Jerusalem	Jerusalem	225"
"Ibis Styles Jerusalem City Center	Jerusalem	104"
"Ein Kerem Hotel	Jerusalem	96"
"Agripas Boutique Hotel	Jerusalem	52"
"Caesar Premier Tiberias	Tiberias	229"
"Dave Gordon Hotel	Tel Aviv Jaffa	35"
"Villa Brown Hotel	Jerusalem	24"
"American Colony	Jerusalem	92"
"Mamilla Hotel	Jerusalem	194"
"Isrotel Yam Suf	Eilat	251"
"Isrotel Riviera Club	Eilat	172"
"Isrotel Royal Beach - Tel Aviv	Tel Aviv Jaffa	230"
"Royal Plaza	Tiberias	160"
"Ein Harod Country Suites and Guesthouses	Ein Harod	50"
"Orchid Reef	Eilat	79"
"Imperial	Tel Aviv Jaffa	41"
"Alexander	Tel Aviv Jaffa	50"
"Astral Nirvana	Eilat	80"
"Astral Nirvana Club	Eilat	77"
"Arthur	Jerusalem	54"
"Beit Maimon	Zikhron Ya'akov	25"
"Blue	Eilat	30"
"Bereshit	Mizpe Ramon	111"
"David Intercontinental	Tel Aviv Jaffa	555"
"Dan Eilat	Eilat	378"
"Dan Jerusalem	Jerusalem	505"
"Dan Panorama Haifa	Haifa	266"
"Daniel Dead Sea		302"
"King Solomon Tiberias	Tiberias	218"
"Mount Zion	Jerusalem	137"
"Herods Vitalis	Eilat	64"
"Harmony	Jerusalem	48"
